Emittance,Beam Energy,Beam Spread,Beam Radius
2.32731361790758,276305831604.8612,0.1,6.624797205011366
2.85639103908139,892262858206.4741,4.39,6.261861649724206
2.963396100222286,1507356202563.8118,5.12,5.70529330880006
2.998057098168029,2115394331269.1765,5.49,5.304158163383481
3.0825815697996877,2723123118708.648,5.69,5.056053444971031
3.1267717906310146,3323725515462.6113,5.88,4.943182597307846
3.1957322189690234,3924112091117.9478,6.01,4.752101004825564
3.1332707459552585,4517113699644.325,6.16,4.446577365660103
3.2422654757935407,5109946145043.446,6.28,4.450807438389159
3.086471451338503,5118536076888.605,6.28,130.154599056205
2.444482559586338,5116779663983.331,6.23,216.77369683865544
