Feature 1,Feature 2,Correlation
Emittance,Beam Radius,1.0
Mean Theta,R,1.0
Uv/X-ray,X-ray Percentage,-1.0
Critical Energy,X-ray Percentage,0.9340659340659341
Uv/X-ray,Critical Energy,-0.9340659340659341
Beam Spread,Beam Radius,0.9340659340659341
Emittance,Beam Spread,0.9340659340659341
Mean Theta,Beam Radius,0.9120879120879122
Emittance,Mean Theta,0.9120879120879122
Beam Radius,R,0.9120879120879122
Emittance,R,0.9120879120879122
Uv/X-ray,X-ray Critical Energy,-0.8681318681318682
X-ray Percentage,X-ray Critical Energy,0.8681318681318682
Beam Spread,R,0.8461538461538461
Mean Theta,Beam Spread,0.8461538461538461
Critical Energy,X-ray Critical Energy,0.8021978021978022
Mean Theta,Set Emittance,0.759647261351837
Set Emittance,R,0.759647261351837
Critical Energy,Beam Energy,0.7362637362637363
Beam Spread,Set Emittance,0.7359082844345922
Emittance,Set Emittance,0.7359082844345922
Beam Radius,Set Emittance,0.7359082844345922
Beam Energy,X-ray Percentage,0.6703296703296704
Uv/X-ray,Beam Energy,-0.6703296703296704
Beam Energy,X-ray Critical Energy,0.5824175824175825
Uv/X-ray,Set Radius,-0.28613959986039156
X-ray Percentage,Set Radius,0.28613959986039156
X-ray Critical Energy,R,-0.27472527472527475
Mean Theta,X-ray Critical Energy,-0.27472527472527475
Critical Energy,Set Radius,0.2363761911890191
X-ray Critical Energy,Set Radius,0.2363761911890191
Beam Energy,Set Radius,0.21149448685333289
Beam Radius,X-ray Critical Energy,-0.18681318681318684
Mean Theta,X-ray Percentage,-0.18681318681318684
Emittance,X-ray Critical Energy,-0.18681318681318684
Uv/X-ray,R,0.18681318681318684
X-ray Percentage,R,-0.18681318681318684
Uv/X-ray,Mean Theta,0.18681318681318684
Critical Energy,R,-0.1208791208791209
Beam Spread,X-ray Critical Energy,-0.1208791208791209
Mean Theta,Critical Energy,-0.1208791208791209
X-ray Critical Energy,Set Emittance,-0.11869488458622454
Beam Radius,X-ray Percentage,-0.09890109890109891
Emittance,Uv/X-ray,0.09890109890109891
Emittance,X-ray Percentage,-0.09890109890109891
Uv/X-ray,Beam Radius,0.09890109890109891
Beam Spread,Set Radius,-0.08708596517490177
Beam Energy,R,-0.07692307692307693
Mean Theta,Beam Energy,-0.07692307692307693
Beam Energy,Beam Spread,0.07692307692307693
Beam Energy,Set Emittance,0.07121693075173473
Uv/X-ray,Set Emittance,0.07121693075173473
X-ray Percentage,Set Emittance,-0.07121693075173473
Mean Theta,Set Radius,-0.062204260839215555
Beam Radius,Set Radius,-0.062204260839215555
Emittance,Set Radius,-0.062204260839215555
Set Radius,R,-0.06220426083921555
Set Emittance,Set Radius,0.053750624644677655
Critical Energy,Beam Spread,0.03296703296703297
Critical Energy,Beam Radius,-0.03296703296703297
Uv/X-ray,Beam Spread,0.03296703296703297
Beam Spread,X-ray Percentage,-0.03296703296703297
Emittance,Critical Energy,-0.03296703296703297
Beam Energy,Beam Radius,0.01098901098901099
Emittance,Beam Energy,0.01098901098901099
Critical Energy,Set Emittance,0.0
