Emittance (um),Beam Radius (um),Beam Radius Fraction
2.0,2.878,0.5
2.0,5.7561,1.0
2.0,11.5121,2.0
2.0,17.2682,3.0
2.0,23.0243,4.0
2.0,28.7803,5.0
2.2828,3.0748,0.5
2.2828,6.1496,1.0
2.2828,12.2992,2.0
2.2828,18.4488,3.0
2.2828,24.5984,4.0
2.2828,30.748,5.0
2.5657,3.2597,0.5
2.5657,6.5194,1.0
2.5657,13.0389,2.0
2.5657,19.5583,3.0
2.5657,26.0777,4.0
2.5657,32.5972,5.0
2.8485,3.4347,0.5
2.8485,6.8694,1.0
2.8485,13.7388,2.0
2.8485,20.6081,3.0
2.8485,27.4775,4.0
2.8485,34.3469,5.0
3.1313,3.6012,0.5
3.1313,7.2023,1.0
3.1313,14.4047,2.0
3.1313,21.607,3.0
3.1313,28.8094,4.0
3.1313,36.0117,5.0
3.4141,3.7603,0.5
3.4141,7.5206,1.0
3.4141,15.0412,2.0
3.4141,22.5617,3.0
3.4141,30.0823,4.0
3.4141,37.6029,5.0
3.697,3.9129,0.5
3.697,7.8259,1.0
3.697,15.6518,2.0
3.697,23.4777,3.0
3.697,31.3036,4.0
3.697,39.1294,5.0
3.9798,4.0599,0.5
3.9798,8.1197,1.0
3.9798,16.2394,2.0
3.9798,24.3592,3.0
3.9798,32.4789,4.0
3.9798,40.5986,5.0
4.2626,4.2016,0.5
4.2626,8.4033,1.0
4.2626,16.8066,2.0
4.2626,25.2099,3.0
4.2626,33.6132,4.0
4.2626,42.0165,5.0
4.5455,4.3388,0.5
4.5455,8.6776,1.0
4.5455,17.3552,2.0
4.5455,26.0328,3.0
4.5455,34.7104,4.0
4.5455,43.388,5.0
4.8283,4.4717,0.5
4.8283,8.9435,1.0
4.8283,17.887,2.0
4.8283,26.8305,3.0
4.8283,35.774,4.0
4.8283,44.7175,5.0
5.1111,4.6009,0.5
5.1111,9.2017,1.0
5.1111,18.4034,2.0
5.1111,27.6051,3.0
5.1111,36.8068,4.0
5.1111,46.0085,5.0
5.3939,4.7264,0.5
5.3939,9.4529,1.0
5.3939,18.9057,2.0
5.3939,28.3586,3.0
5.3939,37.8115,4.0
5.3939,47.2644,5.0
5.6768,4.8488,0.5
5.6768,9.6975,1.0
5.6768,19.3951,2.0
5.6768,29.0926,3.0
5.6768,38.7901,4.0
5.6768,48.4877,5.0
5.9596,4.9681,0.5
5.9596,9.9362,1.0
5.9596,19.8723,2.0
5.9596,29.8085,3.0
5.9596,39.7447,4.0
5.9596,49.6809,5.0
6.2424,5.0846,0.5
6.2424,10.1692,1.0
6.2424,20.3384,2.0
6.2424,30.5076,3.0
6.2424,40.6769,4.0
6.2424,50.8461,5.0
6.5253,5.1985,0.5
6.5253,10.397,1.0
6.5253,20.7941,2.0
6.5253,31.1911,3.0
6.5253,41.5881,4.0
6.5253,51.9852,5.0
6.8081,5.31,0.5
6.8081,10.62,1.0
6.8081,21.2399,2.0
6.8081,31.8599,3.0
6.8081,42.4799,4.0
6.8081,53.0998,5.0
7.0909,5.4192,0.5
7.0909,10.8383,1.0
7.0909,21.6766,2.0
7.0909,32.5149,3.0
7.0909,43.3533,4.0
7.0909,54.1916,5.0
7.3737,5.5262,0.5
7.3737,11.0523,1.0
7.3737,22.1047,2.0
7.3737,33.157,3.0
7.3737,44.2094,4.0
7.3737,55.2617,5.0
7.6566,5.6312,0.5
7.6566,11.2623,1.0
7.6566,22.5246,2.0
7.6566,33.787,3.0
7.6566,45.0493,4.0
7.6566,56.3116,5.0
7.9394,5.7342,0.5
7.9394,11.4684,1.0
7.9394,22.9369,2.0
7.9394,34.4053,3.0
7.9394,45.8738,4.0
7.9394,57.3422,5.0
8.2222,5.8355,0.5
8.2222,11.6709,1.0
8.2222,23.3419,2.0
8.2222,35.0128,3.0
8.2222,46.6837,4.0
8.2222,58.3546,5.0
8.5051,5.935,0.5
8.5051,11.87,1.0
8.5051,23.7399,2.0
8.5051,35.6099,3.0
8.5051,47.4798,4.0
8.5051,59.3498,5.0
8.7879,6.0329,0.5
8.7879,12.0657,1.0
8.7879,24.1314,2.0
8.7879,36.1971,3.0
8.7879,48.2628,4.0
8.7879,60.3285,5.0
9.0707,6.1292,0.5
9.0707,12.2583,1.0
9.0707,24.5167,2.0
9.0707,36.775,3.0
9.0707,49.0333,4.0
9.0707,61.2917,5.0
9.3535,6.224,0.5
9.3535,12.448,1.0
9.3535,24.8959,2.0
9.3535,37.3439,3.0
9.3535,49.7919,4.0
9.3535,62.2399,5.0
9.6364,6.3174,0.5
9.6364,12.6348,1.0
9.6364,25.2695,2.0
9.6364,37.9043,3.0
9.6364,50.5391,4.0
9.6364,63.1738,5.0
9.9192,6.4094,0.5
9.9192,12.8188,1.0
9.9192,25.6377,2.0
9.9192,38.4565,3.0
9.9192,51.2754,4.0
9.9192,64.0942,5.0
10.202,6.5002,0.5
10.202,13.0003,1.0
10.202,26.0006,2.0
10.202,39.0009,3.0
10.202,52.0013,4.0
10.202,65.0016,5.0
10.4848,6.5896,0.5
10.4848,13.1793,1.0
10.4848,26.3586,2.0
10.4848,39.5379,3.0
10.4848,52.7171,4.0
10.4848,65.8964,5.0
10.7677,6.6779,0.5
10.7677,13.3559,1.0
10.7677,26.7117,2.0
10.7677,40.0676,3.0
10.7677,53.4234,4.0
10.7677,66.7793,5.0
11.0505,6.7651,0.5
11.0505,13.5301,1.0
11.0505,27.0602,2.0
11.0505,40.5904,3.0
11.0505,54.1205,4.0
11.0505,67.6506,5.0
11.3333,6.8511,0.5
11.3333,13.7022,1.0
11.3333,27.4044,2.0
11.3333,41.1065,3.0
11.3333,54.8087,4.0
11.3333,68.5109,5.0
11.6162,6.936,0.5
11.6162,13.8721,1.0
11.6162,27.7442,2.0
11.6162,41.6163,3.0
11.6162,55.4884,4.0
11.6162,69.3605,5.0
11.899,7.02,0.5
11.899,14.04,1.0
11.899,28.0799,2.0
11.899,42.1199,3.0
11.899,56.1598,4.0
11.899,70.1998,5.0
12.1818,7.1029,0.5
12.1818,14.2058,1.0
12.1818,28.4117,2.0
12.1818,42.6175,3.0
12.1818,56.8233,4.0
12.1818,71.0292,5.0
12.4646,7.1849,0.5
12.4646,14.3698,1.0
12.4646,28.7396,2.0
12.4646,43.1094,3.0
12.4646,57.4792,4.0
12.4646,71.849,5.0
12.7475,7.266,0.5
12.7475,14.5319,1.0
12.7475,29.0638,2.0
12.7475,43.5957,3.0
12.7475,58.1277,4.0
12.7475,72.6596,5.0
13.0303,7.3461,0.5
13.0303,14.6922,1.0
13.0303,29.3845,2.0
13.0303,44.0767,3.0
13.0303,58.769,4.0
13.0303,73.4612,5.0
13.3131,7.4254,0.5
13.3131,14.8508,1.0
13.3131,29.7017,2.0
13.3131,44.5525,3.0
13.3131,59.4033,4.0
13.3131,74.2542,5.0
13.596,7.5039,0.5
13.596,15.0078,1.0
13.596,30.0155,2.0
13.596,45.0233,3.0
13.596,60.031,4.0
13.596,75.0388,5.0
13.8788,7.5815,0.5
13.8788,15.163,1.0
13.8788,30.3261,2.0
13.8788,45.4891,3.0
13.8788,60.6522,4.0
13.8788,75.8152,5.0
14.1616,7.6584,0.5
14.1616,15.3168,1.0
14.1616,30.6335,2.0
14.1616,45.9503,3.0
14.1616,61.2671,4.0
14.1616,76.5838,5.0
14.4444,7.7345,0.5
14.4444,15.469,1.0
14.4444,30.9379,2.0
14.4444,46.4069,3.0
14.4444,61.8758,4.0
14.4444,77.3448,5.0
14.7273,7.8098,0.5
14.7273,15.6197,1.0
14.7273,31.2393,2.0
14.7273,46.859,3.0
14.7273,62.4787,4.0
14.7273,78.0984,5.0
15.0101,7.8845,0.5
15.0101,15.7689,1.0
15.0101,31.5379,2.0
15.0101,47.3068,3.0
15.0101,63.0758,4.0
15.0101,78.8447,5.0
15.2929,7.9584,0.5
15.2929,15.9168,1.0
15.2929,31.8336,2.0
15.2929,47.7504,3.0
15.2929,63.6672,4.0
15.2929,79.5841,5.0
15.5758,8.0317,0.5
15.5758,16.0633,1.0
15.5758,32.1266,2.0
15.5758,48.19,3.0
15.5758,64.2533,4.0
15.5758,80.3166,5.0
15.8586,8.1043,0.5
15.8586,16.2085,1.0
15.8586,32.417,2.0
15.8586,48.6255,3.0
15.8586,64.834,4.0
15.8586,81.0425,5.0
16.1414,8.1762,0.5
16.1414,16.3524,1.0
16.1414,32.7048,2.0
16.1414,49.0572,3.0
16.1414,65.4096,4.0
16.1414,81.762,5.0
16.4242,8.2475,0.5
16.4242,16.495,1.0
16.4242,32.9901,2.0
16.4242,49.4851,3.0
16.4242,65.9802,4.0
16.4242,82.4752,5.0
16.7071,8.3182,0.5
16.7071,16.6365,1.0
16.7071,33.2729,2.0
16.7071,49.9094,3.0
16.7071,66.5458,4.0
16.7071,83.1823,5.0
16.9899,8.3883,0.5
16.9899,16.7767,1.0
16.9899,33.5534,2.0
16.9899,50.3301,3.0
16.9899,67.1067,4.0
16.9899,83.8834,5.0
17.2727,8.4579,0.5
17.2727,16.9157,1.0
17.2727,33.8315,2.0
17.2727,50.7472,3.0
17.2727,67.663,4.0
17.2727,84.5787,5.0
17.5556,8.5268,0.5
17.5556,17.0537,1.0
17.5556,34.1074,2.0
17.5556,51.161,3.0
17.5556,68.2147,4.0
17.5556,85.2684,5.0
17.8384,8.5952,0.5
17.8384,17.1905,1.0
17.8384,34.381,2.0
17.8384,51.5715,3.0
17.8384,68.762,4.0
17.8384,85.9525,5.0
18.1212,8.6631,0.5
18.1212,17.3262,1.0
18.1212,34.6525,2.0
18.1212,51.9787,3.0
