Emittance (um),Beam Radius (um),Beam Radius Fraction
2.0,2.878,0.5
2.0,5.7561,1.0
2.0,11.5121,2.0
2.0,17.2682,3.0
2.0,23.0243,4.0
2.0,28.7803,5.0
2.0555,2.9177,0.5
2.0555,5.8353,1.0
2.0555,11.6707,2.0
2.0555,17.506,3.0
2.0555,23.3413,4.0
2.0555,29.1767,5.0
2.1125,2.9578,0.5
2.1125,5.9157,1.0
2.1125,11.8314,2.0
2.1125,17.7471,3.0
2.1125,23.6628,4.0
2.1125,29.5785,5.0
2.171,2.9986,0.5
2.171,5.9972,1.0
2.171,11.9943,2.0
2.171,17.9915,3.0
2.171,23.9886,4.0
2.171,29.9858,5.0
2.2313,3.0399,0.5
2.2313,6.0797,1.0
2.2313,12.1595,2.0
2.2313,18.2392,3.0
2.2313,24.319,4.0
2.2313,30.3987,5.0
2.2931,3.0817,0.5
2.2931,6.1635,1.0
2.2931,12.3269,2.0
2.2931,18.4904,3.0
2.2931,24.6539,4.0
2.2931,30.8173,5.0
2.3567,3.1242,0.5
2.3567,6.2483,1.0
2.3567,12.4967,2.0
2.3567,18.745,3.0
2.3567,24.9934,4.0
2.3567,31.2417,5.0
2.4221,3.1672,0.5
2.4221,6.3344,1.0
2.4221,12.6688,2.0
2.4221,19.0032,3.0
2.4221,25.3376,4.0
2.4221,31.6719,5.0
2.4892,3.2108,0.5
2.4892,6.4216,1.0
2.4892,12.8432,2.0
2.4892,19.2649,3.0
2.4892,25.6865,4.0
2.4892,32.1081,5.0
2.5583,3.255,0.5
2.5583,6.5101,1.0
2.5583,13.0201,2.0
2.5583,19.5302,3.0
2.5583,26.0402,4.0
2.5583,32.5503,5.0
2.6292,3.2999,0.5
2.6292,6.5997,1.0
2.6292,13.1994,2.0
2.6292,19.7991,3.0
2.6292,26.3988,4.0
2.6292,32.9985,5.0
2.7021,3.3453,0.5
2.7021,6.6906,1.0
2.7021,13.3812,2.0
2.7021,20.0718,3.0
2.7021,26.7623,4.0
2.7021,33.4529,5.0
2.7771,3.3914,0.5
2.7771,6.7827,1.0
2.7771,13.5654,2.0
2.7771,20.3482,3.0
2.7771,27.1309,4.0
2.7771,33.9136,5.0
2.8541,3.4381,0.5
2.8541,6.8761,1.0
2.8541,13.7523,2.0
2.8541,20.6284,3.0
2.8541,27.5045,4.0
2.8541,34.3806,5.0
2.9332,3.4854,0.5
2.9332,6.9708,1.0
2.9332,13.9416,2.0
2.9332,20.9125,3.0
2.9332,27.8833,4.0
2.9332,34.8541,5.0
3.0146,3.5334,0.5
3.0146,7.0668,1.0
3.0146,14.1336,2.0
3.0146,21.2004,3.0
3.0146,28.2672,4.0
3.0146,35.3341,5.0
3.0982,3.5821,0.5
3.0982,7.1641,1.0
3.0982,14.3283,2.0
3.0982,21.4924,3.0
3.0982,28.6565,4.0
3.0982,35.8206,5.0
3.1841,3.6314,0.5
3.1841,7.2628,1.0
3.1841,14.5256,2.0
3.1841,21.7884,3.0
3.1841,29.0511,4.0
3.1841,36.3139,5.0
3.2724,3.6814,0.5
3.2724,7.3628,1.0
3.2724,14.7256,2.0
3.2724,22.0884,3.0
3.2724,29.4512,4.0
3.2724,36.814,5.0
3.3631,3.7321,0.5
3.3631,7.4642,1.0
3.3631,14.9284,2.0
3.3631,22.3926,3.0
3.3631,29.8568,4.0
3.3631,37.321,5.0
3.4564,3.7835,0.5
3.4564,7.567,1.0
3.4564,15.134,2.0
3.4564,22.701,3.0
3.4564,30.2679,4.0
3.4564,37.8349,5.0
3.5523,3.8356,0.5
3.5523,7.6712,1.0
3.5523,15.3424,2.0
3.5523,23.0136,3.0
3.5523,30.6848,4.0
3.5523,38.3559,5.0
3.6508,3.8884,0.5
3.6508,7.7768,1.0
3.6508,15.5537,2.0
3.6508,23.3305,3.0
3.6508,31.1073,4.0
3.6508,38.8841,5.0
3.752,3.942,0.5
3.752,7.8839,1.0
3.752,15.7678,2.0
3.752,23.6518,3.0
3.752,31.5357,4.0
3.752,39.4196,5.0
3.8561,3.9962,0.5
3.8561,7.9925,1.0
3.8561,15.985,2.0
3.8561,23.9775,3.0
3.8561,31.97,4.0
3.8561,39.9625,5.0
3.963,4.0513,0.5
3.963,8.1026,1.0
3.963,16.2051,2.0
3.963,24.3077,3.0
3.963,32.4102,4.0
3.963,40.5128,5.0
4.0729,4.1071,0.5
4.0729,8.2141,1.0
4.0729,16.4283,2.0
4.0729,24.6424,3.0
4.0729,32.8565,4.0
4.0729,41.0707,5.0
4.1858,4.1636,0.5
4.1858,8.3273,1.0
4.1858,16.6545,2.0
4.1858,24.9818,3.0
4.1858,33.309,4.0
4.1858,41.6363,5.0
4.3019,4.221,0.5
4.3019,8.4419,1.0
4.3019,16.8839,2.0
4.3019,25.3258,3.0
4.3019,33.7677,4.0
4.3019,42.2096,5.0
4.4212,4.2791,0.5
4.4212,8.5582,1.0
4.4212,17.1164,2.0
4.4212,25.6745,3.0
4.4212,34.2327,4.0
4.4212,42.7909,5.0
4.5438,4.338,0.5
4.5438,8.676,1.0
4.5438,17.3521,2.0
4.5438,26.0281,3.0
4.5438,34.7041,4.0
4.5438,43.3802,5.0
4.6698,4.3978,0.5
4.6698,8.7955,1.0
4.6698,17.591,2.0
4.6698,26.3865,3.0
4.6698,35.1821,4.0
4.6698,43.9776,5.0
4.7993,4.4583,0.5
4.7993,8.9166,1.0
4.7993,17.8333,2.0
4.7993,26.7499,3.0
4.7993,35.6665,4.0
4.7993,44.5832,5.0
4.9324,4.5197,0.5
4.9324,9.0394,1.0
4.9324,18.0789,2.0
4.9324,27.1183,3.0
4.9324,36.1577,4.0
4.9324,45.1971,5.0
5.0692,4.582,0.5
5.0692,9.1639,1.0
5.0692,18.3278,2.0
5.0692,27.4917,3.0
5.0692,36.6556,4.0
5.0692,45.8195,5.0
5.2098,4.6451,0.5
5.2098,9.2901,1.0
5.2098,18.5802,2.0
5.2098,27.8703,3.0
5.2098,37.1604,4.0
5.2098,46.4505,5.0
5.3543,4.709,0.5
5.3543,9.418,1.0
5.3543,18.8361,2.0
5.3543,28.2541,3.0
5.3543,37.6722,4.0
5.3543,47.0902,5.0
5.5027,4.7739,0.5
5.5027,9.5477,1.0
5.5027,19.0955,2.0
5.5027,28.6432,3.0
5.5027,38.1909,4.0
5.5027,47.7387,5.0
5.6553,4.8396,0.5
5.6553,9.6792,1.0
5.6553,19.3584,2.0
5.6553,29.0377,3.0
5.6553,38.7169,4.0
5.6553,48.3961,5.0
5.8122,4.9063,0.5
5.8122,9.8125,1.0
5.8122,19.625,2.0
5.8122,29.4375,3.0
5.8122,39.25,4.0
5.8122,49.0625,5.0
5.9734,4.9738,0.5
5.9734,9.9476,1.0
5.9734,19.8953,2.0
5.9734,29.8429,3.0
5.9734,39.7905,4.0
5.9734,49.7382,5.0
6.139,5.0423,0.5
6.139,10.0846,1.0
6.139,20.1693,2.0
6.139,30.2539,3.0
6.139,40.3385,4.0
6.139,50.4231,5.0
6.3093,5.1118,0.5
6.3093,10.2235,1.0
6.3093,20.447,2.0
6.3093,30.6705,3.0
6.3093,40.894,4.0
6.3093,51.1175,5.0
6.4842,5.1821,0.5
6.4842,10.3643,1.0
6.4842,20.7286,2.0
6.4842,31.0929,3.0
6.4842,41.4572,4.0
6.4842,51.8214,5.0
6.664,5.2535,0.5
6.664,10.507,1.0
6.664,21.014,2.0
6.664,31.521,3.0
6.664,42.0281,4.0
6.664,52.5351,5.0
6.8488,5.3259,0.5
6.8488,10.6517,1.0
6.8488,21.3034,2.0
6.8488,31.9551,3.0
6.8488,42.6068,4.0
6.8488,53.2585,5.0
7.0388,5.3992,0.5
7.0388,10.7984,1.0
7.0388,21.5968,2.0
7.0388,32.3952,3.0
7.0388,43.1936,4.0
7.0388,53.992,5.0
7.234,5.4735,0.5
7.234,10.9471,1.0
7.234,21.8942,2.0
7.234,32.8413,3.0
7.234,43.7884,4.0
7.234,54.7355,5.0
7.4346,5.5489,0.5
7.4346,11.0978,1.0
7.4346,22.1957,2.0
7.4346,33.2935,3.0
7.4346,44.3914,4.0
7.4346,55.4892,5.0
7.6407,5.6253,0.5
7.6407,11.2507,1.0
7.6407,22.5014,2.0
7.6407,33.752,3.0
7.6407,45.0027,4.0
7.6407,56.2534,5.0
7.8526,5.7028,0.5
7.8526,11.4056,1.0
7.8526,22.8112,2.0
7.8526,34.2168,3.0
7.8526,45.6224,4.0
7.8526,57.028,5.0
8.0704,5.7813,0.5
8.0704,11.5627,1.0
8.0704,23.1254,2.0
8.0704,34.688,3.0
8.0704,46.2507,4.0
8.0704,57.8134,5.0
8.2942,5.861,0.5
8.2942,11.7219,1.0
8.2942,23.4438,2.0
8.2942,35.1657,3.0
8.2942,46.8876,4.0
8.2942,58.6095,5.0
8.5242,5.9417,0.5
8.5242,11.8833,1.0
8.5242,23.7667,2.0
8.5242,35.65,3.0
8.5242,47.5333,4.0
8.5242,59.4166,5.0
8.7606,6.0235,0.5
8.7606,12.047,1.0
8.7606,24.0939,2.0
8.7606,36.1409,3.0
8.7606,48.1879,4.0
8.7606,60.2349,5.0
9.0036,6.1064,0.5
9.0036,12.2129,1.0
9.0036,24.4257,2.0
9.0036,36.6386,3.0
9.0036,48.8515,4.0
9.0036,61.0644,5.0
9.2532,6.1905,0.5
9.2532,12.3811,1.0
9.2532,24.7621,2.0
9.2532,37.1432,3.0
9.2532,49.5242,4.0
9.2532,61.9053,5.0
9.5098,6.2758,0.5
9.5098,12.5516,1.0
9.5098,25.1031,2.0
9.5098,37.6547,3.0
9.5098,50.2062,4.0
