Emittance (um),Beam Radius (um),Beam Radius Fraction
2.0,2.878,0.5
2.0,5.7561,1.0
2.0,11.5121,2.0
2.0,17.2682,3.0
2.0,23.0243,4.0
2.0,28.7803,5.0
2.0702,2.9281,0.5
2.0702,5.8562,1.0
2.0702,11.7124,2.0
2.0702,17.5685,3.0
2.0702,23.4247,4.0
2.0702,29.2809,5.0
2.1404,2.9773,0.5
2.1404,5.9546,1.0
2.1404,11.9092,2.0
2.1404,17.8638,3.0
2.1404,23.8184,4.0
2.1404,29.773,5.0
2.2105,3.0257,0.5
2.2105,6.0514,1.0
2.2105,12.1029,2.0
2.2105,18.1543,3.0
2.2105,24.2058,4.0
2.2105,30.2572,5.0
2.2807,3.0734,0.5
2.2807,6.1467,1.0
2.2807,12.2935,2.0
2.2807,18.4402,3.0
2.2807,24.587,4.0
2.2807,30.7337,5.0
2.3509,3.1203,0.5
2.3509,6.2406,1.0
2.3509,12.4812,2.0
2.3509,18.7218,3.0
2.3509,24.9624,4.0
2.3509,31.203,5.0
2.4211,3.1665,0.5
2.4211,6.333,1.0
2.4211,12.6661,2.0
2.4211,18.9991,3.0
2.4211,25.3322,4.0
2.4211,31.6652,5.0
2.4912,3.2121,0.5
2.4912,6.4242,1.0
2.4912,12.8484,2.0
2.4912,19.2725,3.0
2.4912,25.6967,4.0
2.4912,32.1209,5.0
2.5614,3.257,0.5
2.5614,6.514,1.0
2.5614,13.0281,2.0
2.5614,19.5421,3.0
2.5614,26.0561,4.0
2.5614,32.5701,5.0
2.6316,3.3013,0.5
2.6316,6.6027,1.0
2.6316,13.2053,2.0
2.6316,19.808,3.0
2.6316,26.4106,4.0
2.6316,33.0133,5.0
2.7018,3.3451,0.5
2.7018,6.6901,1.0
2.7018,13.3802,2.0
2.7018,20.0703,3.0
2.7018,26.7605,4.0
2.7018,33.4506,5.0
2.7719,3.3882,0.5
2.7719,6.7764,1.0
2.7719,13.5529,2.0
2.7719,20.3293,3.0
2.7719,27.1058,4.0
2.7719,33.8822,5.0
2.8421,3.4308,0.5
2.8421,6.8617,1.0
2.8421,13.7234,2.0
2.8421,20.5851,3.0
2.8421,27.4467,4.0
2.8421,34.3084,5.0
2.9123,3.4729,0.5
2.9123,6.9459,1.0
2.9123,13.8918,2.0
2.9123,20.8376,3.0
2.9123,27.7835,4.0
2.9123,34.7294,5.0
2.9825,3.5145,0.5
2.9825,7.0291,1.0
2.9825,14.0581,2.0
2.9825,21.0872,3.0
2.9825,28.1163,4.0
2.9825,35.1453,5.0
3.0526,3.5556,0.5
3.0526,7.1113,1.0
3.0526,14.2226,2.0
3.0526,21.3338,3.0
3.0526,28.4451,4.0
3.0526,35.5564,5.0
3.1228,3.5963,0.5
3.1228,7.1926,1.0
3.1228,14.3851,2.0
3.1228,21.5777,3.0
3.1228,28.7702,4.0
3.1228,35.9628,5.0
3.193,3.6365,0.5
3.193,7.2729,1.0
3.193,14.5458,2.0
3.193,21.8188,3.0
3.193,29.0917,4.0
3.193,36.3646,5.0
3.2632,3.6762,0.5
3.2632,7.3524,1.0
3.2632,14.7048,2.0
3.2632,22.0572,3.0
3.2632,29.4096,4.0
3.2632,36.7621,5.0
3.3333,3.7155,0.5
3.3333,7.431,1.0
3.3333,14.8621,2.0
3.3333,22.2931,3.0
3.3333,29.7242,4.0
3.3333,37.1552,5.0
3.4035,3.7544,0.5
3.4035,7.5089,1.0
3.4035,15.0177,2.0
3.4035,22.5266,3.0
3.4035,30.0355,4.0
3.4035,37.5443,5.0
3.4737,3.7929,0.5
3.4737,7.5859,1.0
3.4737,15.1718,2.0
3.4737,22.7576,3.0
3.4737,30.3435,4.0
3.4737,37.9294,5.0
3.5439,3.8311,0.5
3.5439,7.6621,1.0
3.5439,15.3242,2.0
3.5439,22.9864,3.0
3.5439,30.6485,4.0
3.5439,38.3106,5.0
3.614,3.8688,0.5
3.614,7.7376,1.0
3.614,15.4752,2.0
3.614,23.2128,3.0
3.614,30.9504,4.0
3.614,38.6881,5.0
3.6842,3.9062,0.5
3.6842,7.8124,1.0
3.6842,15.6247,2.0
3.6842,23.4371,3.0
3.6842,31.2495,4.0
3.6842,39.0619,5.0
3.7544,3.9432,0.5
3.7544,7.8864,1.0
3.7544,15.7729,2.0
3.7544,23.6593,3.0
3.7544,31.5457,4.0
3.7544,39.4321,5.0
3.8246,3.9799,0.5
3.8246,7.9598,1.0
3.8246,15.9196,2.0
3.8246,23.8794,3.0
3.8246,31.8392,4.0
3.8246,39.7989,5.0
3.8947,4.0162,0.5
3.8947,8.0325,1.0
3.8947,16.065,2.0
3.8947,24.0974,3.0
3.8947,32.1299,4.0
3.8947,40.1624,5.0
3.9649,4.0523,0.5
3.9649,8.1045,1.0
3.9649,16.209,2.0
3.9649,24.3136,3.0
3.9649,32.4181,4.0
3.9649,40.5226,5.0
4.0351,4.088,0.5
4.0351,8.1759,1.0
4.0351,16.3519,2.0
4.0351,24.5278,3.0
4.0351,32.7037,4.0
4.0351,40.8797,5.0
4.1053,4.1234,0.5
4.1053,8.2467,1.0
4.1053,16.4934,2.0
4.1053,24.7402,3.0
4.1053,32.9869,4.0
4.1053,41.2336,5.0
4.1754,4.1585,0.5
4.1754,8.3169,1.0
4.1754,16.6338,2.0
4.1754,24.9507,3.0
4.1754,33.2676,4.0
4.1754,41.5845,5.0
4.2456,4.1933,0.5
4.2456,8.3865,1.0
4.2456,16.773,2.0
4.2456,25.1595,3.0
4.2456,33.546,4.0
4.2456,41.9325,5.0
4.3158,4.2278,0.5
4.3158,8.4555,1.0
4.3158,16.9111,2.0
4.3158,25.3666,3.0
4.3158,33.8221,4.0
4.3158,42.2777,5.0
4.386,4.262,0.5
4.386,8.524,1.0
4.386,17.048,2.0
4.386,25.572,3.0
4.386,34.096,4.0
4.386,42.62,5.0
4.4561,4.296,0.5
4.4561,8.5919,1.0
4.4561,17.1838,2.0
4.4561,25.7758,3.0
4.4561,34.3677,4.0
4.4561,42.9596,5.0
4.5263,4.3297,0.5
4.5263,8.6593,1.0
4.5263,17.3186,2.0
4.5263,25.9779,3.0
4.5263,34.6372,4.0
4.5263,43.2965,5.0
4.5965,4.3631,0.5
4.5965,8.7262,1.0
4.5965,17.4524,2.0
4.5965,26.1785,3.0
4.5965,34.9047,4.0
4.5965,43.6309,5.0
4.6667,4.3963,0.5
4.6667,8.7925,1.0
4.6667,17.5851,2.0
4.6667,26.3776,3.0
4.6667,35.1701,4.0
4.6667,43.9627,5.0
4.7368,4.4292,0.5
4.7368,8.8584,1.0
4.7368,17.7168,2.0
4.7368,26.5752,3.0
4.7368,35.4336,4.0
4.7368,44.292,5.0
4.807,4.4619,0.5
4.807,8.9238,1.0
4.807,17.8475,2.0
4.807,26.7713,3.0
4.807,35.6951,4.0
4.807,44.6189,5.0
4.8772,4.4943,0.5
4.8772,8.9887,1.0
4.8772,17.9774,2.0
4.8772,26.966,3.0
4.8772,35.9547,4.0
4.8772,44.9434,5.0
4.9474,4.5266,0.5
4.9474,9.0531,1.0
4.9474,18.1062,2.0
4.9474,27.1593,3.0
4.9474,36.2124,4.0
4.9474,45.2656,5.0
5.0175,4.5585,0.5
5.0175,9.1171,1.0
5.0175,18.2342,2.0
5.0175,27.3513,3.0
5.0175,36.4684,4.0
5.0175,45.5855,5.0
5.0877,4.5903,0.5
5.0877,9.1806,1.0
5.0877,18.3613,2.0
5.0877,27.5419,3.0
5.0877,36.7225,4.0
5.0877,45.9031,5.0
5.1579,4.6219,0.5
5.1579,9.2437,1.0
5.1579,18.4874,2.0
5.1579,27.7312,3.0
5.1579,36.9749,4.0
5.1579,46.2186,5.0
5.2281,4.6532,0.5
5.2281,9.3064,1.0
5.2281,18.6128,2.0
5.2281,27.9192,3.0
5.2281,37.2256,4.0
5.2281,46.532,5.0
5.2982,4.6843,0.5
5.2982,9.3686,1.0
5.2982,18.7373,2.0
5.2982,28.1059,3.0
5.2982,37.4746,4.0
5.2982,46.8432,5.0
5.3684,4.7152,0.5
5.3684,9.4305,1.0
5.3684,18.861,2.0
5.3684,28.2915,3.0
5.3684,37.7219,4.0
5.3684,47.1524,5.0
5.4386,4.746,0.5
5.4386,9.4919,1.0
5.4386,18.9838,2.0
5.4386,28.4758,3.0
5.4386,37.9677,4.0
5.4386,47.4596,5.0
5.5088,4.7765,0.5
5.5088,9.553,1.0
5.5088,19.1059,2.0
5.5088,28.6589,3.0
5.5088,38.2119,4.0
5.5088,47.7648,5.0
5.5789,4.8068,0.5
5.5789,9.6136,1.0
5.5789,19.2272,2.0
5.5789,28.8409,3.0
5.5789,38.4545,4.0
5.5789,48.0681,5.0
5.6491,4.8369,0.5
5.6491,9.6739,1.0
5.6491,19.3478,2.0
5.6491,29.0217,3.0
5.6491,38.6956,4.0
5.6491,48.3695,5.0
5.7193,4.8669,0.5
5.7193,9.7338,1.0
5.7193,19.4676,2.0
5.7193,29.2014,3.0
5.7193,38.9352,4.0
5.7193,48.669,5.0
5.7895,4.8967,0.5
5.7895,9.7933,1.0
5.7895,19.5867,2.0
5.7895,29.38,3.0
5.7895,39.1733,4.0
5.7895,48.9666,5.0
5.8596,4.9263,0.5
5.8596,9.8525,1.0
5.8596,19.705,2.0
5.8596,29.5575,3.0
5.8596,39.41,4.0
5.8596,49.2625,5.0
5.9298,4.9557,0.5
5.9298,9.9113,1.0
5.9298,19.8226,2.0
5.9298,29.734,3.0
5.9298,39.6453,4.0
5.9298,49.5566,5.0
6.0,4.9849,0.5
6.0,9.9698,1.0
6.0,19.9396,2.0
6.0,29.9094,3.0
