Emittance (um),Beam Radius (um),Beam Radius Fraction
2.0,5.7561,1
2.028,5.7963,1
2.0561,5.8362,1
2.0841,5.8758,1
2.1121,5.9152,1
2.1401,5.9543,1
2.1682,5.9932,1
2.1962,6.0318,1
2.2242,6.0702,1
2.2523,6.1083,1
2.2803,6.1462,1
2.3083,6.1838,1
2.3363,6.2213,1
2.3644,6.2585,1
2.3924,6.2955,1
2.4204,6.3322,1
2.4484,6.3688,1
2.4765,6.4051,1
2.5045,6.4413,1
2.5325,6.4772,1
2.5606,6.513,1
2.5886,6.5485,1
2.6166,6.5839,1
2.6446,6.619,1
2.6727,6.654,1
2.7007,6.6888,1
2.7287,6.7234,1
2.7568,6.7579,1
2.7848,6.7921,1
2.8128,6.8262,1
2.8408,6.8602,1
2.8689,6.8939,1
2.8969,6.9275,1
2.9249,6.9609,1
2.953,6.9942,1
2.981,7.0273,1
3.009,7.0603,1
3.037,7.0931,1
3.0651,7.1258,1
3.0931,7.1583,1
3.1211,7.1906,1
3.1491,7.2228,1
3.1772,7.2549,1
3.2052,7.2868,1
3.2332,7.3186,1
3.2613,7.3503,1
3.2893,7.3818,1
3.3173,7.4132,1
3.3453,7.4444,1
3.3734,7.4755,1
3.4014,7.5065,1
3.4294,7.5374,1
3.4575,7.5681,1
3.4855,7.5988,1
3.5135,7.6292,1
3.5415,7.6596,1
3.5696,7.6899,1
3.5976,7.72,1
3.6256,7.75,1
3.6537,7.7799,1
3.6817,7.8097,1
3.7097,7.8394,1
3.7377,7.8689,1
3.7658,7.8984,1
3.7938,7.9277,1
3.8218,7.9569,1
3.8498,7.9861,1
3.8779,8.0151,1
3.9059,8.044,1
3.9339,8.0728,1
3.962,8.1015,1
3.99,8.1301,1
4.018,8.1586,1
4.046,8.187,1
4.0741,8.2153,1
4.1021,8.2435,1
4.1301,8.2717,1
4.1582,8.2997,1
4.1862,8.3276,1
4.2142,8.3554,1
4.2422,8.3832,1
4.2703,8.4108,1
4.2983,8.4384,1
4.3263,8.4658,1
4.3544,8.4932,1
4.3824,8.5205,1
4.4104,8.5477,1
4.4384,8.5748,1
4.4665,8.6019,1
4.4945,8.6288,1
4.5225,8.6557,1
4.5506,8.6825,1
4.5786,8.7092,1
4.6066,8.7358,1
4.6346,8.7623,1
4.6627,8.7888,1
4.6907,8.8151,1
4.7187,8.8414,1
4.7467,8.8677,1
4.7748,8.8938,1
4.8028,8.9199,1
4.8308,8.9459,1
4.8589,8.9718,1
4.8869,8.9976,1
4.9149,9.0234,1
4.9429,9.0491,1
4.971,9.0747,1
4.999,9.1002,1
5.027,9.1257,1
5.0551,9.1511,1
5.0831,9.1764,1
5.1111,9.2017,1
5.1391,9.2269,1
5.1672,9.252,1
5.1952,9.2771,1
5.2232,9.3021,1
5.2513,9.327,1
5.2793,9.3519,1
5.3073,9.3767,1
5.3353,9.4014,1
5.3634,9.426,1
5.3914,9.4506,1
5.4194,9.4752,1
5.4474,9.4996,1
5.4755,9.524,1
5.5035,9.5484,1
5.5315,9.5727,1
5.5596,9.5969,1
5.5876,9.6211,1
