Emittance (um),Beam Radius (um),Beam Radius Fraction
2.0,2.878,0.5
2.0,5.7561,1.0
2.0,11.5121,2.0
2.0,23.0243,4.0
2.0,28.7803,5.0
3.4375,3.7732,0.5
3.4375,7.5463,1.0
3.4375,15.0926,2.0
3.4375,30.1853,4.0
3.4375,37.7316,5.0
5.9084,4.9467,0.5
5.9084,9.8934,1.0
5.9084,19.7867,2.0
5.9084,39.5735,4.0
5.9084,49.4668,5.0
10.1551,6.4852,0.5
10.1551,12.9704,1.0
10.1551,25.9408,2.0
10.1551,51.8816,4.0
10.1551,64.852,5.0
17.4543,8.5022,0.5
17.4543,17.0044,1.0
17.4543,34.0089,2.0
17.4543,68.0177,4.0
17.4543,85.0222,5.0
30.0,11.1466,0.5
30.0,22.2931,1.0
30.0,44.5863,2.0
30.0,89.1726,4.0
30.0,111.4657,5.0
