CB Point,Window length,Unrounded Point
0.11,0.09,0.1
0.21,0.19,0.2
0.31,0.29,0.3
0.41,0.39,0.4
0.51,0.49,0.5
0.61,0.59,0.6
0.71,0.69,0.7
0.81,0.79,0.8
0.91,0.89,0.9
1.01,0.99,1.0
1.11,1.09,1.1
1.21,1.19,1.2
1.31,1.29,1.3
1.41,1.39,1.4
1.51,1.49,1.5
1.61,1.59,1.6
1.71,1.69,1.7
1.81,1.79,1.8
1.91,1.89,1.9
2.01,1.99,2.0
2.11,2.09,2.1
2.21,2.19,2.2
2.31,2.29,2.3
2.41,2.39,2.4
2.51,2.49,2.5
2.61,2.59,2.6
2.71,2.69,2.7
2.81,2.79,2.8
2.91,2.89,2.9
3.01,2.99,3.0
3.11,3.09,3.1
3.21,3.19,3.2
3.31,3.29,3.3
3.41,3.39,3.4
3.51,3.49,3.5
3.61,3.59,3.6
3.71,3.69,3.7
3.81,3.79,3.8
3.91,3.89,3.9
4.01,3.99,4.0
4.11,4.09,4.1
4.21,4.19,4.2
4.31,4.29,4.3
4.41,4.39,4.4
4.51,4.49,4.5
4.61,4.59,4.6
4.71,4.69,4.7
4.81,4.79,4.8
4.91,4.89,4.9
5.11,5.09,5.1
5.21,5.19,5.2
5.31,5.29,5.3
5.41,5.39,5.4
5.51,5.49,5.5
5.61,5.59,5.6
5.71,5.69,5.7
5.81,5.79,5.8
5.91,5.89,5.9
6.01,5.99,6.0
6.11,6.09,6.1
6.21,6.19,6.2
6.31,6.29,6.3
6.41,6.39,6.4
6.51,6.49,6.5
6.61,6.59,6.6
6.71,6.69,6.7
6.81,6.79,6.8
6.91,6.89,6.9
7.01,6.99,7.0
7.11,7.09,7.1
7.21,7.19,7.2
7.31,7.29,7.3
7.41,7.39,7.4
7.51,7.49,7.5
7.61,7.59,7.6
7.71,7.69,7.7
7.81,7.79,7.8
7.91,7.89,7.9
8.01,7.99,8.0
8.11,8.09,8.1
8.21,8.19,8.2
8.31,8.29,8.3
8.41,8.39,8.4
8.51,8.49,8.5
8.61,8.59,8.6
8.71,8.69,8.7
8.81,8.79,8.8
8.91,8.89,8.9
9.01,8.99,9.0
9.11,9.09,9.1
9.21,9.19,9.2
9.31,9.29,9.3
9.41,9.39,9.4
9.51,9.49,9.5
9.61,9.59,9.6
9.71,9.69,9.7
9.81,9.79,9.8
9.91,9.89,9.9
10.01,9.99,10.0
